,Unnamed: 0,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
91,91,panama,1000000,1000,2020-01-01,2020-12-31,hybrid,946737.0,4160.0,39425,32.503,0.03307,2.869,19.985,15.999,20.001,1334519,2725637,4240970,10000544,18301670,1334519,2725637,10000544,4240970,0.8682549
94,94,panama,1000000,1000,2020-01-01,2020-12-31,hybrid,954509.0,4243.0,745907,32.533,0.03605,2.877,20.018,16.003,19.999,1338886,2712157,4254104,9999472,18304619,1338886,2712157,9999472,4254104,0.86904615
95,95,panama,1000000,1000,2020-01-01,2020-12-31,hybrid,950621.0,4207.0,467711,32.523,0.03453,2.866,19.99,16.001,20.002,1334552,2716180,4241098,10000974,18292804,1334552,2716180,10000974,4241098,0.8682212
97,97,panama,1000000,1000,2020-01-01,2020-12-31,hybrid,956203.0,4180.0,665022,32.53,0.03734,2.869,19.997,15.993,20.0,1336095,2705384,4252619,9999764,18293862,1336095,2705384,9999764,4252619,0.8687505
98,98,panama,1000000,1000,2020-01-01,2020-12-31,hybrid,954581.0,4205.0,901742,32.549,0.03618,2.871,20.003,16.012,20.0,1335997,2711450,4261189,9999830,18308466,1335997,2711450,9999830,4261189,0.8690169
103,103,panama,1000000,1000,2020-01-01,2020-12-31,hybrid,955644.0,4290.0,178781,32.481,0.03688,2.866,19.997,16.008,20.006,1334186,2715287,4252383,10003011,18304867,1334186,2715287,10003011,4252383,0.86809224
106,106,panama,1000000,1000,2020-01-01,2020-12-31,hybrid,952836.0,4194.0,746466,32.505,0.03554,2.867,19.998,15.996,19.999,1334341,2720404,4242946,9999269,18296960,1334341,2720404,9999269,4242946,0.86828065
107,107,panama,1000000,1000,2020-01-01,2020-12-31,hybrid,949237.0,4138.0,465717,32.535,0.03408,2.868,20.007,16.0,20.002,1334657,2716773,4251744,10000927,18304101,1334657,2716773,10000927,4251744,0.8682066
108,108,panama,1000000,1000,2020-01-01,2020-12-31,hybrid,948421.0,4254.0,106132,32.54,0.03374,2.871,19.99,15.997,20.002,1336427,2711017,4248967,10001036,18297447,1336427,2711017,10001036,4248967,0.86882395
111,111,panama,1000000,1000,2020-01-01,2020-12-31,hybrid,953890.0,4270.0,91400,32.507,0.03602,2.865,20.006,16.004,19.996,1333281,2718741,4247655,9997924,18297601,1333281,2718741,9997924,4247655,0.86834747
114,114,panama,1000000,1000,2020-01-01,2020-12-31,hybrid,947896.0,4227.0,691793,32.506,0.03347,2.859,19.99,15.991,20.0,1329981,2722993,4243804,10000082,18296860,1329981,2722993,10000082,4243804,0.8683226
117,117,panama,1000000,1000,2020-01-01,2020-12-31,hybrid,949759.0,4184.0,959016,32.514,0.03426,2.868,20.01,15.999,20.0,1334653,2715935,4249953,10000213,18300754,1334653,2715935,10000213,4249953,0.86841035
122,122,malawi,1000000,1000,2020-01-01,2020-12-31,hybrid,928447.0,1199.0,506657,22.497,0.03299,3.615,19.996,16.002,20.002,1753488,4007601,3147420,10000957,18909466,1753488,4007601,10000957,3147420,0.7368659
