,data_points,rmsd,rmpse,spearmans_r,spearmans_p_val,kendalls_tau,kendalls_p_val
6660,1507,6201.201777544447,0.0602643238304527,0.9935072940209574,2.7391868688937894e-147,0.937138130686518,1.590904885766138e-67
1660,1507,5972.457731509318,0.0576956309269738,0.995021415814512,3.825845788471417e-156,0.9480562448304384,4.597236788658083e-69
5660,1507,6845.806351755419,0.0654429760464574,0.9956378119517628,1.488946656924476e-160,0.9507030603804798,1.935096765205106e-69
3160,1507,5760.927984462808,0.0560032172064738,0.9926253733938138,4.812891710191428e-143,0.9320099255583127,8.288262224316386e-67
660,1507,6156.926786677942,0.0593472439516775,0.9949834837445274,6.853751616560806e-156,0.9475599669148056,5.405581110702218e-69
6160,1507,6697.378460048148,0.0639904204896894,0.995245847228588,1.1063000199554322e-157,0.9487179487179488,3.7037863166801925e-69
12660,1507,5160.475466390788,0.0503574371277697,0.9940225379715824,4.79794542888492e-150,0.9411083540115798,4.40558611303845e-68
5160,1507,5513.266229647534,0.0536866415486502,0.994904458598726,2.2767862418649183e-155,0.9468982630272952,6.707790309127371e-69
13660,1507,5632.238866393178,0.0546924958671308,0.992862448831218,3.92274834689884e-144,0.9344913151364764,3.733390196605248e-67
160,1507,5599.739902045991,0.0547857024028951,0.9910891245594348,9.664165036436507e-137,0.9257237386269644,6.191767088005628e-66
14160,1507,5553.9550175794175,0.0537214261590651,0.9930584311928052,4.631705857360244e-145,0.935483870967742,2.712084265744461e-67
4660,1507,4709.624403644384,0.0475882699616033,0.9898405272557728,2.23840683311346e-132,0.919602977667494,4.330533896830103e-65
11160,1507,5093.860342117859,0.0495594939335668,0.9953153893568932,3.5664552151145288e-158,0.9495450785773366,2.826446299796456e-69
10660,1507,5729.609043208327,0.0561991425989461,0.9906529057546112,3.769267947841662e-135,0.9230769230769232,1.438086266207716e-65
8660,1507,6313.85604396913,0.0607838763726133,0.9946989932196424,4.7413752470798876e-154,0.9468982630272952,6.707790309127371e-69
9160,1507,5687.858307476172,0.0551031592328588,0.993440912898484,5.979938423377576e-147,0.9384615384615383,1.0375864229901288e-67
10160,1507,6112.967279932856,0.0588375392764188,0.994683188190482,5.959388416970853e-154,0.9450785773366418,1.2134475049133763e-68
7160,1507,5000.961501541471,0.0490496595244082,0.9936748273300564,3.682575030928531e-148,0.9387923904052936,9.32349268518758e-68
8160,1507,5862.146331369247,0.0573331791687002,0.9937981065575064,8.127623583028336e-149,0.9406120760959472,5.174124164566907e-68
7660,1507,5412.645343072913,0.0531661363197708,0.9932638965718892,4.616738782511867e-146,0.9374689826302728,1.4297616004627245e-67
13160,1507,6288.780855049802,0.0608781796924082,0.9936274122425754,6.533133781174813e-148,0.9379652605459058,1.2180419685441018e-67
12160,1507,5624.047425704925,0.0542409341367746,0.995024576820344,3.643679471447336e-156,0.9477253928866832,5.121509112984621e-69
4160,1507,5650.410248853168,0.0551100048534551,0.9946326120971692,1.2330368260543874e-153,0.9449131513647644,1.2805612877770239e-68
8661,1516,5376.286386135229,0.0518828539324368,0.9947116372429706,3.9468669465571176e-154,0.9437551695616212,1.8661310526737152e-68
1661,1516,5872.574985529898,0.0567378225102991,0.9935041330151252,2.843457850006082e-147,0.9382961124896608,1.0945636061204707e-67
3161,1516,6153.823293273007,0.0592753843693631,0.9940351819949106,4.0780306779755756e-150,0.9406120760959472,5.174124164566907e-68
10661,1516,6350.375457191599,0.0612870921057012,0.994452434764742,1.556572398949992e-152,0.943424317617866,2.0779340641337714e-68
5661,1516,5964.904601777394,0.0590887623562321,0.992413586003066,4.224485555062148e-142,0.9328370554177008,6.354944582980906e-67
12161,1516,6663.619111262145,0.0636024945080638,0.9940731140648952,2.4988022920325024e-150,0.9409429280397024,4.648207189484314e-68
11161,1516,5375.034328588461,0.0525910104364809,0.9938202335983308,6.177355242030815e-149,0.9389578163771712,8.837912798484461e-68
4161,1516,5924.817929786288,0.0573527269017984,0.9926475004346382,3.82191203413328e-143,0.9331679073614558,5.714031356820737e-67
5161,1516,5785.895446083255,0.0565351646181799,0.9936495392833998,5.0022759864377125e-148,0.9391232423490488,8.377544119538416e-68
11661,1516,6155.750853233203,0.0587476400679524,0.9943291555372918,8.416758769155578e-152,0.9429280397022332,2.441381782309612e-68
8161,1516,4982.02384163323,0.0491027611474896,0.9933776927818432,1.2486472251304292e-146,0.9368072787427628,1.770143756260877e-67
10161,1516,5640.791632805364,0.0546712254905766,0.9946262900855052,1.3497020658090972e-153,0.9452440033085197,1.1498403663954782e-68
9661,1516,5526.941928521821,0.0534677884133302,0.9940889190940556,2.035616134657727e-150,0.9412737799834574,4.175589960045189e-68
14661,1516,5874.999203986665,0.0569956850938379,0.9932544135543928,5.14309603132696e-146,0.9363110008271298,2.077421032627857e-67
2161,1516,6805.507325575983,0.0651337784800515,0.9939213857849566,1.7400417975359994e-149,0.9407775020678246,4.9041437911960455e-68
161,1516,5030.397915112699,0.0494628702965945,0.9946642221554898,7.833730283036007e-154,0.9462365591397848,8.322455929850153e-69
7661,1516,5821.740766245172,0.0568858543755649,0.9936084462075832,8.20709778642315e-148,0.9406120760959472,5.174124164566907e-68
9161,1516,5350.457794329621,0.0519707195514342,0.9931090072861184,2.642578377824756e-145,0.9368072787427628,1.770143756260877e-67
6161,1516,6053.115314131167,0.0580342093979366,0.994228003350666,3.271328029741807e-151,0.9421009098428452,3.1932108849311243e-68
14161,1516,5015.53116761511,0.0495750715052885,0.9911965987577246,3.8119077162297696e-137,0.9260545905707196,5.571795079796075e-66
661,1516,5232.052155577472,0.0512157204704637,0.9944872058288946,9.604572460625014e-153,0.9432588916459884,2.1926558632067704e-68
3661,1516,4858.95792297461,0.0484781588228331,0.9939498348374451,1.2138038880150866e-149,0.9421009098428452,3.1932108849311243e-68
12661,1516,5020.883002287741,0.0496559698441068,0.9908615321395268,6.680705445612306e-136,0.9240694789081886,1.0487405013311337e-65
1161,1516,5067.186607332957,0.0494245334376457,0.9931564223735992,1.5556478225166064e-145,0.9364764267990074,1.969502765030677e-67
