,Unnamed: 0,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
429,429,french guiana,1000000,1000,2020-01-01,2020-12-31,hybrid,833924.0,1955.0,459950,29.049,0.01895,2.683,19.988,16.005,20.003,1226195,3120793,3962896,10001553,18311437,1226195,3120793,10001553,3962896,0.81857836
85,85,cyprus,1000000,1000,2020-01-01,2020-12-31,hybrid,816506.0,5495.0,340219,39.051,0.01584,2.118,19.99,16.009,19.993,875544,1931454,4743994,9996332,17547324,875544,1931454,9996332,4743994,0.9591943
3038,3038,canada,1000000,1000,2020-01-01,2020-12-31,hybrid,947237.0,8354.0,86972,41.835,0.03233,1.894,20.01,15.994,20.0,725078,1740088,4608733,10000042,17073941,725078,1740088,10000042,4608733,0.9847303
811,811,el salvador,1000000,1000,2020-01-01,2020-12-31,hybrid,955104.0,4140.0,965688,31.597,0.03437,3.217,19.989,15.998,19.998,1533808,2873829,4135306,9999076,18542019,1533808,2873829,9999076,4135306,0.86645985
2975,2975,argentina,1000000,1000,2020-01-01,2020-12-31,hybrid,917255.0,5124.0,531167,34.429,0.02613,2.524,19.993,16.004,19.993,1130537,2554179,4239244,9996640,17920600,1130537,2554179,9996640,4239244,0.8943331
2947,2947,brazil,1000000,1000,2020-01-01,2020-12-31,hybrid,834366.0,3799.0,128856,35.133,0.01634,2.565,20.002,16.009,20.003,1155369,2333311,4669641,10001709,18160030,1155369,2333311,10001709,4669641,0.9087189
200,200,honduras,1000000,1000,2020-01-01,2020-12-31,hybrid,834357.0,2130.0,77709,27.952,0.0163,3.584,19.993,16.005,20.0,1736201,3275029,3990199,10000191,19001620,1736201,3275029,10000191,3990199,0.82284695
1388,1388,croatia,1000000,1000,2020-01-01,2020-12-31,hybrid,957104.0,10252.0,501036,44.011,0.03313,2.153,19.995,15.995,19.996,898092,1600412,4559776,9997799,17056079,898092,1600412,9997799,4559776,1.0063386
4407,4407,cuba,1000000,1000,2020-01-01,2020-12-31,hybrid,945456.0,7301.0,893250,41.254,0.02827,2.421,20.004,16.001,20.003,1068034,1776747,4788536,10001269,17634586,1068034,1776747,10001269,4788536,0.96978706
943,943,ethiopia,1000000,1000,2020-01-01,2020-12-31,hybrid,947143.0,1537.0,537492,23.822,0.03721,3.712,20.01,16.007,20.003,1805901,3814928,3313125,10001658,18935612,1805901,3814928,10001658,3313125,0.75751895
3569,3569,russian federation,1000000,1000,2020-01-01,2020-12-31,hybrid,950908.0,7322.0,275911,40.276,0.03551,1.989,20.014,16.005,20.0,789936,1770777,4693664,9999947,17254324,789936,1770777,9999947,4693664,0.95762813
1201,1201,mayotte,1000000,1000,2020-01-01,2020-12-31,hybrid,944391.0,1942.0,528458,25.206,0.03766,3.251,20.009,16.002,20.001,1552927,3737108,3401001,10000503,18691539,1552927,3737108,10000503,3401001,0.7696369
1563,1563,nicaragua,1000000,1000,2020-01-01,2020-12-31,hybrid,957732.0,2646.0,3902,29.31,0.03347,3.979,20.005,16.008,19.998,1950385,3024575,4147583,9998773,19121316,1950385,3024575,9998773,4147583,0.83525306
1534,1534,belarus,1000000,1000,2020-01-01,2020-12-31,hybrid,957679.0,7532.0,561536,40.848,0.03815,1.922,20.002,16.009,19.999,742760,1691611,4774386,9999350,17208107,742760,1691611,9999350,4774386,0.9644935
1140,1140,ghana,1000000,1000,2020-01-01,2020-12-31,hybrid,922553.0,1345.0,628219,25.397,0.03326,2.725,19.985,16.009,20.003,1249493,3512412,3664513,10001274,18427692,1249493,3512412,10001274,3664513,0.7755139
1490,1490,iraq,1000000,1000,2020-01-01,2020-12-31,hybrid,952263.0,1472.0,584657,24.891,0.02627,6.709,20.0,15.991,19.996,3350428,3586392,3582394,9998146,20517360,3350428,3586392,9998146,3582394,0.7709741
