,data_points,rmsd,spearmans_r,spearmans_p_val,kendalls_tau,kendalls_p_val
10375,396,6268.4213384620425,0.9868818257969684,7.057213438806805e-124,0.9076923076923076,1.8381489911116945e-63
1393,396,5448.688448790343,0.9938139115866668,6.681780308390192e-149,0.9407775020678246,4.9041437911959054e-68
5884,396,6623.704358331475,0.9906149736846264,5.141258363750121e-135,0.9230769230769232,1.438086266207634e-65
6882,396,6028.403131145103,0.9931975154494158,9.798942232678025e-146,0.9356492969396196,2.5713167591488572e-67
4886,396,6746.958440154447,0.9899321964249024,1.1177233070114481e-132,0.917948717948718,7.309548420686969e-65
3888,396,4922.993743290636,0.995473439648496,2.5533959544208025e-159,0.9507030603804798,1.9350967652050512e-69
14866,396,5045.959783025702,0.9929983720819964,8.971118081673233e-145,0.9349875930521092,3.1821568210318536e-67
3889,397,4514.336947476694,0.9951573390652904,4.5631961251368135e-157,0.9493796526054592,2.9835265607614807e-69
13869,397,5696.946540418065,0.9930046940936604,8.370309963034011e-145,0.9343258891645988,3.937517696124428e-67
11374,397,6068.278422899752,0.9950846359311531,1.4334984284482584e-156,0.9477253928866832,5.121509112984326e-69
1394,397,4068.1844569212494,0.9938391996333232,4.878917283840387e-149,0.9384615384615383,1.037586422990099e-67
396,397,6191.688655121835,0.993892936732468,2.4902235320191882e-149,0.9409429280397024,4.648207189484314e-68
8879,397,5427.523253758521,0.993668505318392,3.9760840866310075e-148,0.9389578163771712,8.837912798483959e-68
10376,397,6853.683004354856,0.9903526102005658,4.2540121459005047e-134,0.9240694789081886,1.0487405013311034e-65
895,397,5876.220143197299,0.990311517124749,5.892019835904608e-134,0.9255583126550868,6.527069702470214e-66
13370,397,6325.352223948404,0.9931532613677672,1.611766364378732e-145,0.9397849462365592,6.763073501375647e-68
1893,397,5436.070184719809,0.9851085015251853,1.1469644380083632e-119,0.9007444168734492,1.600372662636325e-62
12372,397,5344.085909072966,0.9918920200407768,6.9295636366886225e-140,0.9336641852770884,4.871451703423087e-67
8380,397,6134.384183380059,0.9886583110745836,1.0272653170963308e-128,0.913978494623656,2.5578179631326582e-64
3390,397,5225.011620695727,0.9939751228841016,8.800267301398466e-150,0.9389578163771712,8.837912798483959e-68
7881,397,5699.725422318527,0.991961562169082,3.579197001546529e-140,0.9320099255583127,8.288262224315916e-67
5386,397,6539.83801036841,0.9898626542965968,1.894039525356296e-132,0.9212572373862696,2.5632193315378747e-65
9378,397,6989.55761881971,0.981078219089314,1.0073083120226585e-111,0.8871794871794871,1.0434725049901375e-60
9877,397,3091.453635811814,0.9898879423432536,1.5641544553618927e-132,0.9192721257237386,4.808878324652148e-65
12871,397,5767.707656407554,0.9914652842534494,3.540036596081393e-138,0.9277088502894956,3.285895923354478e-66
14867,397,4156.797315860701,0.9917434527666702,2.789219146282853e-139,0.928370554177006,2.6595210101894066e-66
2392,397,5544.779017349399,0.9922081206239824,3.281341115113145e-141,0.9310173697270472,1.1395971697073293e-66
5885,397,5073.567420880825,0.9875108659575476,1.6431738975083856e-125,0.9106699751861042,7.234303272493469e-64
6883,397,5680.242025787868,0.9947242812662987,3.2840478741619345e-154,0.9462365591397848,8.32245592984968e-69
4887,397,6461.946995744972,0.9941268511640404,1.2417425968135066e-150,0.942597187758478,2.718220347460284e-68
7382,397,6410.286812164105,0.994000410930758,6.37168159953144e-150,0.9396195202646817,7.134989869417577e-68
14368,397,5007.084856701365,0.9930363041519812,5.912970139391511e-145,0.9364764267990074,1.969502765030621e-67
