,Unnamed: 0,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
3545,3545,russian federation,1000000,1000,2020-01-01,2020-12-31,hybrid,946955.0,7290.0,289290,40.263,0.03387,1.992,20.023,15.999,20.005,791912,1768247,4691768,10002576,17254503,791912,1768247,10002576,4691768,0.9572702
4234,4234,timor-leste,1000000,1000,2020-01-01,2020-12-31,hybrid,940779.0,1733.0,386214,25.351,0.03009,4.32,20.0,16.019,20.008,2129655,3707802,3452369,10003987,19293813,2129655,3707802,10003987,3452369,0.77865434
1234,1234,portugal,1000000,1000,2020-01-01,2020-12-31,hybrid,963820.0,11619.0,379810,45.394,0.03561,2.049,19.996,15.997,19.996,828702,1534384,4538915,9998174,16900175,828702,1534384,9998174,4538915,1.021407
2335,2335,central african republic,1000000,1000,2020-01-01,2020-12-31,hybrid,782169.0,985.0,478059,22.303,0.01586,3.982,19.988,15.999,19.996,1951220,4160247,3001414,9998069,19110950,1951220,4160247,9998069,3001414,0.73127466
151,151,cambodia,1000000,1000,2020-01-01,2020-12-31,hybrid,871784.0,1751.0,344620,28.22,0.01876,3.711,20.003,16.001,20.003,1805635,3072645,4124457,10001690,19004427,1805635,3072645,10001690,4124457,0.82378757
4355,4355,botswana,1000000,1000,2020-01-01,2020-12-31,hybrid,944906.0,1789.0,404540,27.217,0.03799,2.743,20.004,15.999,19.995,1261667,3269485,3901759,9997691,18430602,1261667,3269485,9997691,3901759,0.8054382
3300,3300,maldives,1000000,1000,2020-01-01,2020-12-31,hybrid,969885.0,1971.0,389675,30.745,0.03078,4.45,19.995,15.998,20.001,2196975,2164656,5299394,10000439,19661464,2196975,2164656,10000439,5299394,0.89403105
4456,4456,norway,1000000,1000,2020-01-01,2020-12-31,hybrid,945790.0,8241.0,763889,40.758,0.03425,1.726,20.007,16.007,19.995,606416,1899383,4507750,9997640,17011189,606416,1899383,9997640,4507750,0.9709604
2482,2482,senegal,1000000,1000,2020-01-01,2020-12-31,hybrid,920506.0,1243.0,441861,23.133,0.01954,7.669,20.007,15.993,20.003,3832838,3847977,3212133,10001605,20894553,3832838,3847977,10001605,3212133,0.74062645
1774,1774,malaysia,1000000,1000,2020-01-01,2020-12-31,hybrid,969355.0,3133.0,234875,32.379,0.03724,3.666,19.991,15.999,19.995,1780373,2568369,4568238,9997523,18914503,1780373,2568369,9997523,4568238,0.8794828
810,810,el salvador,1000000,1000,2020-01-01,2020-12-31,hybrid,953359.0,4039.0,566558,31.61,0.03376,3.21,19.986,16.003,19.99,1530857,2877230,4133404,9995211,18536702,1530857,2877230,9995211,4133404,0.86649936
1007,1007,germany,1000000,1000,2020-01-01,2020-12-31,hybrid,753567.0,8471.0,236047,44.849,0.01477,1.612,20.002,16.006,20.002,523434,1550622,4528855,10001019,16603930,523434,1550622,10001019,4528855,1.0117987
2129,2129,pakistan,1000000,1000,2020-01-01,2020-12-31,hybrid,951931.0,1922.0,618244,26.538,0.02734,5.827,20.005,16.005,19.997,2904302,3379654,3759586,9998639,20042181,2904302,3379654,9998639,3759586,0.7948381
2635,2635,korea,1000000,1000,2020-01-01,2020-12-31,hybrid,965834.0,7536.0,908651,42.863,0.03643,1.952,20.011,16.0,19.998,764587,1516415,5050854,9999041,17330897,764587,1516415,9999041,5050854,0.9958721
335,335,guadeloupe,1000000,1000,2020-01-01,2020-12-31,hybrid,899755.0,8859.0,335180,41.861,0.02423,1.786,19.993,16.004,19.993,649363,2142593,4167754,9996728,16956438,649363,2142593,9996728,4167754,0.9714222
3338,3338,sudan,1000000,1000,2020-01-01,2020-12-31,hybrid,949416.0,1565.0,598772,24.342,0.03326,4.636,19.993,16.009,19.999,2294079,3766273,3349688,9999349,19409389,2294079,3766273,9999349,3349688,0.7597404
2218,2218,kenya,1000000,1000,2020-01-01,2020-12-31,hybrid,908934.0,1060.0,826501,24.036,0.0295,2.85,20.004,16.002,20.002,1323410,3768274,3516837,10001138,18609659,1323410,3768274,10001138,3516837,0.7629249
234,234,aruba,1000000,1000,2020-01-01,2020-12-31,hybrid,932407.0,5663.0,859493,40.035,0.02673,2.225,20.001,15.993,20.0,944499,2035308,4611447,10000101,17591355,944499,2035308,10000101,4611447,0.95679253
4084,4084,iran,1000000,1000,2020-01-01,2020-12-31,hybrid,943233.0,2879.0,568699,32.531,0.0317,2.718,19.992,15.997,19.993,1246919,2387036,4691069,9996314,18321338,1246919,2387036,9996314,4691069,0.8730968
